plate,prefix,number,suffix,province,region,vehicle_type
DB7097HT,DB,7097,HT,Sulut,Sulut,Bus
A7211RTZ,A,7211,RTZ,Banten,Banten,Bus
B7587EBI,B,7587,EBI,Jadetabek,Depok,Bus
W4813NWT,W,4813,NWT,Sidoarjo,Sidoarjo,Motorcycle
S3210SL,S,3210,SL,Bojonegoro,Bojonegoro,Motorcycle
B7884ZQG,B,7884,ZQG,Jadetabek,Depok,Bus
R3015OQU,R,3015,OQU,Banyumas,Banyumas,Motorcycle
AG9629XJ,AG,9629,XJ,Kediri,Kediri,Truck/Commercial
DD9913DGM,DD,9913,DGM,Sulsel,Sulsel,Truck/Commercial
N9729JM,N,9729,JM,Malang,Malang,Truck/Commercial
B7535PQ,B,7535,PQ,Jadetabek,Jakarta Pusat,Bus
R3794CQO,R,3794,CQO,Banyumas,Banyumas,Motorcycle
Z8938TG,Z,8938,TG,Tasikmalaya,Tasikmalaya,Truck/Commercial
AB396RBO,AB,396,RBO,Yogyakarta,Yogyakarta,Private Car
R9332PF,R,9332,PF,Banyumas,Banyumas,Truck/Commercial
B8166PUS,B,8166,PUS,Jadetabek,Jakarta Pusat,Truck/Commercial
B1325KS,B,1325,KS,Jadetabek,Bekasi Kota,Private Car
B929BI,B,929,BI,Jadetabek,Jakarta Barat,Private Car
M7128RK,M,7128,RK,Madura,Madura,Bus
S1685YVN,S,1685,YVN,Bojonegoro,Bojonegoro,Private Car
DB1040DBP,DB,1040,DBP,Sulut,Sulut,Private Car
H725YK,H,725,YK,Semarang,Semarang,Private Car
AE7441HO,AE,7441,HO,Madiun,Madiun,Bus
S1245QKH,S,1245,QKH,Bojonegoro,Bojonegoro,Private Car
DK9627RJ,DK,9627,RJ,Bali,Bali,Truck/Commercial
H1927UL,H,1927,UL,Semarang,Semarang,Private Car
D9656AB,D,9656,AB,Bandung Raya,Bandung Raya,Truck/Commercial
DB8263HF,DB,8263,HF,Sulut,Sulut,Truck/Commercial
S7237SY,S,7237,SY,Bojonegoro,Bojonegoro,Bus
B7258SOC,B,7258,SOC,Jadetabek,Jakarta Selatan,Bus
B9652CXL,B,9652,CXL,Jadetabek,Tangerang Kota,Truck/Commercial
B5046WTE,B,5046,WTE,Jadetabek,Tangsel,Motorcycle
AA1923YN,AA,1923,YN,Kedu,Kedu,Private Car
W7349GWX,W,7349,GWX,Sidoarjo,Sidoarjo,Bus
DB8087WIH,DB,8087,WIH,Sulut,Sulut,Truck/Commercial
K4869GIJ,K,4869,GIJ,Pati,Pati,Motorcycle
B6495PAT,B,6495,PAT,Jadetabek,Jakarta Pusat,Motorcycle
Z7275LV,Z,7275,LV,Tasikmalaya,Tasikmalaya,Bus
R5141FSJ,R,5141,FSJ,Banyumas,Banyumas,Motorcycle
F8835WN,F,8835,WN,Bogor/Sukabumi,Bogor/Sukabumi,Truck/Commercial
H45EP,H,45,EP,Semarang,Semarang,Private Car
B8283KH,B,8283,KH,Jadetabek,Bekasi Kota,Truck/Commercial
DD290VN,DD,290,VN,Sulsel,Sulsel,Private Car
M7957RR,M,7957,RR,Madura,Madura,Bus
DK8304OCU,DK,8304,OCU,Bali,Bali,Truck/Commercial
A3638PHM,A,3638,PHM,Banten,Banten,Motorcycle
AA8321BR,AA,8321,BR,Kedu,Kedu,Truck/Commercial
DK5338FJY,DK,5338,FJY,Bali,Bali,Motorcycle
B2391FZ,B,2391,FZ,Jadetabek,Bekasi Kab,Motorcycle
B7119UE,B,7119,UE,Jadetabek,Jakarta Utara,Bus
KB8829FDH,KB,8829,FDH,Kalbar,Kalbar,Truck/Commercial
DA7316VQ,DA,7316,VQ,Kalsel,Kalsel,Bus
P1276KXD,P,1276,KXD,Besuki,Besuki,Private Car
H8655PFN,H,8655,PFN,Semarang,Semarang,Truck/Commercial
B9631FR,B,9631,FR,Jadetabek,Bekasi Kab,Truck/Commercial
E46GVK,E,46,GVK,Cirebon/Indramayu,Cirebon/Indramayu,Private Car
B8906ZZN,B,8906,ZZN,Jadetabek,Depok,Truck/Commercial
M7113RJ,M,7113,RJ,Madura,Madura,Bus
P1324FQT,P,1324,FQT,Besuki,Besuki,Private Car
M8437TGI,M,8437,TGI,Madura,Madura,Truck/Commercial
DB1266YP,DB,1266,YP,Sulut,Sulut,Private Car
B7711BN,B,7711,BN,Jadetabek,Jakarta Barat,Bus
H1665SCG,H,1665,SCG,Semarang,Semarang,Private Car
T6929PR,T,6929,PR,Karawang/Purwakarta,Karawang/Purwakarta,Motorcycle
AG880XCG,AG,880,XCG,Kediri,Kediri,Private Car
B2518TKR,B,2518,TKR,Jadetabek,Jakarta Timur,Motorcycle
T7588UDZ,T,7588,UDZ,Karawang/Purwakarta,Karawang/Purwakarta,Bus
B565FWG,B,565,FWG,Jadetabek,Bekasi Kab,Private Car
B8855WSO,B,8855,WSO,Jadetabek,Tangsel,Truck/Commercial
L9620PIB,L,9620,PIB,Surabaya,Surabaya,Truck/Commercial
P1907XFT,P,1907,XFT,Besuki,Besuki,Private Car
A5608VNU,A,5608,VNU,Banten,Banten,Motorcycle
DD8257NHC,DD,8257,NHC,Sulsel,Sulsel,Truck/Commercial
Z9MG,Z,9,MG,Tasikmalaya,Tasikmalaya,Private Car
N6122HC,N,6122,HC,Malang,Malang,Motorcycle
B8740PY,B,8740,PY,Jadetabek,Jakarta Pusat,Truck/Commercial
B616FD,B,616,FD,Jadetabek,Bekasi Kab,Private Car
S7597TUD,S,7597,TUD,Bojonegoro,Bojonegoro,Bus
KB7430RY,KB,7430,RY,Kalbar,Kalbar,Bus
D1687FFI,D,1687,FFI,Bandung Raya,Bandung Raya,Private Car
B6668PW,B,6668,PW,Jadetabek,Jakarta Pusat,Motorcycle
AE2318GG,AE,2318,GG,Madiun,Madiun,Motorcycle
S9350WW,S,9350,WW,Bojonegoro,Bojonegoro,Truck/Commercial
AB2520XYD,AB,2520,XYD,Yogyakarta,Yogyakarta,Motorcycle
AD7171YES,AD,7171,YES,Surakarta,Surakarta,Bus
R7795AI,R,7795,AI,Banyumas,Banyumas,Bus
AB4492TY,AB,4492,TY,Yogyakarta,Yogyakarta,Motorcycle
DK7636ELK,DK,7636,ELK,Bali,Bali,Bus
DB6774DYG,DB,6774,DYG,Sulut,Sulut,Motorcycle
B3731PID,B,3731,PID,Jadetabek,Jakarta Pusat,Motorcycle
AG9675FSG,AG,9675,FSG,Kediri,Kediri,Truck/Commercial
S9377YD,S,9377,YD,Bojonegoro,Bojonegoro,Truck/Commercial
B260UH,B,260,UH,Jadetabek,Jakarta Utara,Private Car
D7303ZGX,D,7303,ZGX,Bandung Raya,Bandung Raya,Bus
E7576HU,E,7576,HU,Cirebon/Indramayu,Cirebon/Indramayu,Bus
F7475VDW,F,7475,VDW,Bogor/Sukabumi,Bogor/Sukabumi,Bus
AB1705KGI,AB,1705,KGI,Yogyakarta,Yogyakarta,Private Car
B7080ZNJ,B,7080,ZNJ,Jadetabek,Depok,Bus
B7949KSH,B,7949,KSH,Jadetabek,Bekasi Kota,Bus
B7583SX,B,7583,SX,Jadetabek,Jakarta Selatan,Bus
M1482JL,M,1482,JL,Madura,Madura,Private Car
S4628VAM,S,4628,VAM,Bojonegoro,Bojonegoro,Motorcycle
L8081HRI,L,8081,HRI,Surabaya,Surabaya,Truck/Commercial
L7946KJ,L,7946,KJ,Surabaya,Surabaya,Bus
F7258VC,F,7258,VC,Bogor/Sukabumi,Bogor/Sukabumi,Bus
B8623SKI,B,8623,SKI,Jadetabek,Jakarta Selatan,Truck/Commercial
D414DF,D,414,DF,Bandung Raya,Bandung Raya,Private Car
Z1220FE,Z,1220,FE,Tasikmalaya,Tasikmalaya,Private Car
F8268OZH,F,8268,OZH,Bogor/Sukabumi,Bogor/Sukabumi,Truck/Commercial
B7164FFG,B,7164,FFG,Jadetabek,Bekasi Kab,Bus
B1535TQV,B,1535,TQV,Jadetabek,Jakarta Timur,Private Car
L9033AA,L,9033,AA,Surabaya,Surabaya,Truck/Commercial
E512MX,E,512,MX,Cirebon/Indramayu,Cirebon/Indramayu,Private Car
B1158WTJ,B,1158,WTJ,Jadetabek,Tangsel,Private Car
DK1786II,DK,1786,II,Bali,Bali,Private Car
AA9848CDN,AA,9848,CDN,Kedu,Kedu,Truck/Commercial
M9663WCR,M,9663,WCR,Madura,Madura,Truck/Commercial
DK9065CU,DK,9065,CU,Bali,Bali,Truck/Commercial
DK4522QXY,DK,4522,QXY,Bali,Bali,Motorcycle
B7367UJG,B,7367,UJG,Jadetabek,Jakarta Utara,Bus
DB9261TKQ,DB,9261,TKQ,Sulut,Sulut,Truck/Commercial
N7583IY,N,7583,IY,Malang,Malang,Bus
B8340BW,B,8340,BW,Jadetabek,Jakarta Barat,Truck/Commercial
DB518LS,DB,518,LS,Sulut,Sulut,Private Car
B1084UA,B,1084,UA,Jadetabek,Jakarta Utara,Private Car
M5591LJL,M,5591,LJL,Madura,Madura,Motorcycle
A558IB,A,558,IB,Banten,Banten,Private Car
S7947ZK,S,7947,ZK,Bojonegoro,Bojonegoro,Bus
A7349CS,A,7349,CS,Banten,Banten,Bus
B8139FQ,B,8139,FQ,Jadetabek,Bekasi Kab,Truck/Commercial
DD9068DU,DD,9068,DU,Sulsel,Sulsel,Truck/Commercial
P6527KX,P,6527,KX,Besuki,Besuki,Motorcycle
B9504UPI,B,9504,UPI,Jadetabek,Jakarta Utara,Truck/Commercial
DK7204WDE,DK,7204,WDE,Bali,Bali,Bus
N1043CG,N,1043,CG,Malang,Malang,Private Car
A888UFI,A,888,UFI,Banten,Banten,Private Car
B1881ETS,B,1881,ETS,Jadetabek,Depok,Private Car
B1214PIH,B,1214,PIH,Jadetabek,Jakarta Pusat,Private Car
B1324TTA,B,1324,TTA,Jadetabek,Jakarta Timur,Private Car
B742WQ,B,742,WQ,Jadetabek,Tangsel,Private Car
B563TC,B,563,TC,Jadetabek,Jakarta Timur,Private Car
B7742WMB,B,7742,WMB,Jadetabek,Tangsel,Bus
B4688WXZ,B,4688,WXZ,Jadetabek,Tangsel,Motorcycle
DD4176ML,DD,4176,ML,Sulsel,Sulsel,Motorcycle
H2262RW,H,2262,RW,Semarang,Semarang,Motorcycle
KB3051TL,KB,3051,TL,Kalbar,Kalbar,Motorcycle
S9899YMY,S,9899,YMY,Bojonegoro,Bojonegoro,Truck/Commercial
K7372CNX,K,7372,CNX,Pati,Pati,Bus
S1174MSW,S,1174,MSW,Bojonegoro,Bojonegoro,Private Car
K7670LB,K,7670,LB,Pati,Pati,Bus
DD7035XK,DD,7035,XK,Sulsel,Sulsel,Bus
B5659BL,B,5659,BL,Jadetabek,Jakarta Barat,Motorcycle
Z9643FY,Z,9643,FY,Tasikmalaya,Tasikmalaya,Truck/Commercial
B1297SJN,B,1297,SJN,Jadetabek,Jakarta Selatan,Private Car
E7614GWY,E,7614,GWY,Cirebon/Indramayu,Cirebon/Indramayu,Bus
B7530WCE,B,7530,WCE,Jadetabek,Tangsel,Bus
KB7184SHS,KB,7184,SHS,Kalbar,Kalbar,Bus
B7582BZ,B,7582,BZ,Jadetabek,Jakarta Barat,Bus
B7224WD,B,7224,WD,Jadetabek,Tangsel,Bus
D1173KN,D,1173,KN,Bandung Raya,Bandung Raya,Private Car
KB4332JG,KB,4332,JG,Kalbar,Kalbar,Motorcycle
KB7393SV,KB,7393,SV,Kalbar,Kalbar,Bus
S6667VK,S,6667,VK,Bojonegoro,Bojonegoro,Motorcycle
B1499FN,B,1499,FN,Jadetabek,Bekasi Kab,Private Car
B3176FJ,B,3176,FJ,Jadetabek,Bekasi Kab,Motorcycle
DB816QX,DB,816,QX,Sulut,Sulut,Private Car
B8632PQY,B,8632,PQY,Jadetabek,Jakarta Pusat,Truck/Commercial
B1582ZA,B,1582,ZA,Jadetabek,Depok,Private Car
DK7037ZCC,DK,7037,ZCC,Bali,Bali,Bus
KB7686GUM,KB,7686,GUM,Kalbar,Kalbar,Bus
L7422EOG,L,7422,EOG,Surabaya,Surabaya,Bus
E7820CO,E,7820,CO,Cirebon/Indramayu,Cirebon/Indramayu,Bus
B8892SH,B,8892,SH,Jadetabek,Jakarta Selatan,Truck/Commercial
B7346PX,B,7346,PX,Jadetabek,Jakarta Pusat,Bus
T6672YRY,T,6672,YRY,Karawang/Purwakarta,Karawang/Purwakarta,Motorcycle
G9885DRL,G,9885,DRL,Pekalongan,Pekalongan,Truck/Commercial
E7208ZMV,E,7208,ZMV,Cirebon/Indramayu,Cirebon/Indramayu,Bus
A9PT,A,9,PT,Banten,Banten,Private Car
AG2411YJ,AG,2411,YJ,Kediri,Kediri,Motorcycle
B7915ZKH,B,7915,ZKH,Jadetabek,Depok,Bus
L8038AM,L,8038,AM,Surabaya,Surabaya,Truck/Commercial
P1254JC,P,1254,JC,Besuki,Besuki,Private Car
Z4750NYU,Z,4750,NYU,Tasikmalaya,Tasikmalaya,Motorcycle
B3641ZQ,B,3641,ZQ,Jadetabek,Depok,Motorcycle
K8189IBW,K,8189,IBW,Pati,Pati,Truck/Commercial
R9034BE,R,9034,BE,Banyumas,Banyumas,Truck/Commercial
AG7457MI,AG,7457,MI,Kediri,Kediri,Bus
B8840PRF,B,8840,PRF,Jadetabek,Jakarta Pusat,Truck/Commercial
S8485QTG,S,8485,QTG,Bojonegoro,Bojonegoro,Truck/Commercial
Z1966FB,Z,1966,FB,Tasikmalaya,Tasikmalaya,Private Car
DB4628CDF,DB,4628,CDF,Sulut,Sulut,Motorcycle
G7396HB,G,7396,HB,Pekalongan,Pekalongan,Bus
B3677BGY,B,3677,BGY,Jadetabek,Jakarta Barat,Motorcycle
G8722NEW,G,8722,NEW,Pekalongan,Pekalongan,Truck/Commercial
DD9687QLL,DD,9687,QLL,Sulsel,Sulsel,Truck/Commercial
P97ING,P,97,ING,Besuki,Besuki,Private Car
DB9815EXE,DB,9815,EXE,Sulut,Sulut,Truck/Commercial
B3690UVS,B,3690,UVS,Jadetabek,Jakarta Utara,Motorcycle
AD1202EM,AD,1202,EM,Surakarta,Surakarta,Private Car
DA1192QUX,DA,1192,QUX,Kalsel,Kalsel,Private Car
N7303UP,N,7303,UP,Malang,Malang,Bus
B9976KSC,B,9976,KSC,Jadetabek,Bekasi Kota,Truck/Commercial
DD3422JI,DD,3422,JI,Sulsel,Sulsel,Motorcycle
L8872WME,L,8872,WME,Surabaya,Surabaya,Truck/Commercial
AB5812VDO,AB,5812,VDO,Yogyakarta,Yogyakarta,Motorcycle
P466TF,P,466,TF,Besuki,Besuki,Private Car
G8702HS,G,8702,HS,Pekalongan,Pekalongan,Truck/Commercial
D4394NP,D,4394,NP,Bandung Raya,Bandung Raya,Motorcycle
DK876YUP,DK,876,YUP,Bali,Bali,Private Car
B8528ZHV,B,8528,ZHV,Jadetabek,Depok,Truck/Commercial
